1．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
419．（2015秋•天津期末）下列说法正确的是（　　）A．没有最小的正数B．-a表示负数C．符号相反两个数互为相反数D．一个数的绝对值一定是正数难度：0.66真题：4组卷：98
420．（2015秋•南昌期末）-8的相反数是（　　）A．18B．-8 C．8 D．-18难度：0.99真题：3组卷：18
421．（2015秋•双城市期末）有理数6的相反数是（　　）A．-6 B．6 C．16D．-16难度：0.82真题：3组卷：16
422．（2015秋•安陆市期末）下列各对数中，互为相反数的是（　　）A．-2与3 B．-（+3）与+（-3） C．4与-4 D．5与15难度：0.80真题：3组卷：60
423．（2015秋•衡阳校级期末）2的相反数是（　　）A．2 B．-2 C．13D．-12难度：0.94真题：2组卷：175
424．（2015秋•海南期末）13的相反数是（　　）A．3 B．13C．−13D．-3难度：0.80真题：2组卷：13
425．（2015秋•罗平县期末）有理数-13的相反数是（　　）A．13B．-13C．3 D．-3难度：0.77真题：2组卷：12
426．（2015秋•九江期末）如果a、b互为相反数，且b≠0，则式子a+b，ab，|a|-|b|的值分别为（　　）A．0，1，2 B．1，0，1 C．1，-1，0 D．0，-1，0难度：0.66真题：2组卷：205
427．（2015秋•会宁县校级期末）下列说法错误的是（　　）A．-8是-（-8）的相反数 B．+8与-（-8）互为相反数C．+（-8）与+（+8）互为相反数 D．+（-8）与-（-8）互为相反数难度：0.60真题：2组卷：3
428．（2015秋•淮安校级期末）若一个数的相反数为6，则这个数为（　　）A．16B．±6 C．6 D．-6难度：0.60真题：2组卷：158
429．（2015春•深圳校级期末）34的相反数是（　　）A．-113B．-|-34| C．-（-113） D．|-34|难度：0.82真题：1组卷：68
430．（2015秋•岳池县期末）若a=-a，则a=（　　）A．1 B．-1 C．0 D．1或-1难度：0.80真题：1组卷：73
431．（2015秋•宿州期末）-12的倒数的相反数是（　　）A．-2 B．2 C．-12D．12难度：0.77真题：1组卷：24
432．（2015秋•邵阳校级期末）3022的相反数是（　　）A．3022 B．-3022 C．|-3022| D．13022难度：0.77真题：1组卷：13
433．（2015秋•天水期末）若有理数a与2互为相反数，则a为（　　）A．2 B．12C．-2 D．−12难度：0.75真题：1组卷：16
434．（2015秋•埇桥区期末）下列各式中互为相反数的算式是（　　）①-（-3）②（-3）2 ③|-（-3）|④-|-32|A．①② B．①③ C．②④ D．③④难度：0.75真题：1组卷：37
435．（2015秋•五莲县期末）|-2010|倒数的相反数是（　　）A．2010 B．-2010 C．12010D．−12010难度：0.75真题：1组卷：17
436．（2015秋•莒县期末）下列四个数中，其相反数是正整数的是（　　）A．2 B．513C．-2016 D．-23难度：0.75真题：1组卷：22
437．（2015秋•兴化市校级期末）-（+2）等于（　　）A．-2 B．2 C．-12D．12难度：0.75真题：1组卷：21
438．（2015秋•长乐市期末）如果两个数m、n互为相反数，那么下列结论不正确的是（　　）A．m+n=0B．mn＝1C．|m|=|n|D．数轴上，表示这两个数的点到原点的距离相等难度：0.66真题：1组卷：72
439．（2015秋•垫江县期末）下列各对数中，互为相反数的是（　　）A．-（-3）和3 B．-|-3|和-（-3） C．|-3|和3 D．-3和-|-3|难度：0.66真题：1组卷：137
440．（2015秋•顺义区期末）下列叙述正确的个数是（　　）①表示互为相反数的两个数的点到原点的距离相等；②互为相反数的两个数和为0；③互为相反数的两个数积为1；④任何数都不等于它的相反数．A．1个 B．2个 C．3个 D．4个难度：0.66真题：1组卷：294
441．（2015秋•芜湖期末）下列各组数中互为相反数的是（　　）A．+（+2）与-（-2） B．+（-2）与-（-2） C．+（+2）与-（-12） D．+（-2）与-（+2）难度：0.66真题：1组卷：112
442．（2015秋•石景山区期末）代数式2x+3与5互为相反数，则x等于（　　）A．1 B．-1 C．4 D．-4难度：0.66真题：1组卷：247
443．（2015秋•博白县期末）下列各对数中，互为相反数的是（　　）A．+（-2）与-（+2） B．-（-3）与|-3| C．-32与（-3）2 D．-23与（-2）3难度：0.66真题：1组卷：56
444．（2015秋•新泰市校级期末）（-2）3的相反数是（　　）A．-6 B．8 C．−16D．-8难度：0.60真题：1组卷：10
445．（2015秋•会宁县校级期末）下列各组数中，互为相反数的是（　　）A．|-13|和-13B．|-13|和-3 C．|-13|和13D．|-13|和3难度：0.60真题：1组卷：1
446．（2015秋•浦城县期末）7的相反数是（　　）A．−17B．-7 C．17D．7难度：0.60真题：1组卷：13
447．（2015秋•邗江区校级期末）如图，数轴上的点A表示的数为a，则a的相反数等于（　　）A．-2 B．2 C．−12D．12难度：0.60真题：1组卷：14
448．（2015秋•南江县期末）下列各组数中，互为相反数的是（　　）A．2与|-2| B．-1与（-1）2 C．（-1）2与1 D．2与12难度：0.60真题：1组卷：43
449．（2015秋•龙岩校级期末）下列各组数中，互为相反数的是（　　）A．+（-2）与-（+2） B．（-2）2与|-2|2 C．-|-2|与-（-2） D．-（-22）与（-2）2难度：0.60真题：1组卷：23
450．（2015秋•大余县期末）3的相反数是（　　）A．-3 B．-2ab C．3 D．-2ac难度：0.60真题：1组卷：0
451．（2015秋•南雄市期末）2015的相反数是（　　）A．12015B．-2015 C．2015 D．-12015难度：0.60真题：1组卷：22
452．（2015秋•献县校级期中）下列说法错误的是（　　）A．两个互为相反数的和是0B．两个互为相反数的绝对值相等C．两个互为相反数的商是-1D．两个互为相反数的平方相等难度：0.80真题：26组卷：347
453．（2015秋•安陆市期中）0.2的相反数是（　　）A．15B．−15C．-5 D．5难度：0.93真题：18组卷：48
454．（2015秋•钦南区期中）下列说法中正确的是（　　）A．最小的整数是0B．如果两个数的绝对值相等，那么这两个数相等C．有理数分为正数和负数D．互为相反数的两个数的绝对值相等难度：0.64真题：10组卷：101
455．（2015秋•蚌埠期中）下列各对数中，互为相反数的是（　　）A．-（+3）与+（-3） B．-（-4）与|-4| C．-32与（-3）2 D．-23与（-2）3难度：0.83真题：7组卷：47
456．（2015秋•潍城区期中）下列各组数中，互为相反数的是（　　）A．-（+7）与+（-7） B．+（-12）与-（+0.5）C．+（-0.01）与-（-1100） D．-114与45难度：0.54真题：7组卷：346
457．（2015秋•北塘区期中）-3的相反数是（　　）A．-3 B．+3 C．0.3 D．13难度：0.82真题：6组卷：43
458．（2015秋•广南县校级期中）在数轴上，原点两旁与原点等距离的两点所表示的数的关系是（　　）A．相等 B．互为倒数 C．互为相反数 D．不能确定难度：0.73真题：6组卷：70
459．（2015秋•通化校级期中）若a表示有理数，则-a是（　　）A．正数 B．负数 C．a的相反数 D．a的倒数难度：0.86真题：5组卷：62
460．（2015秋•启东市校级期中）下列各组数中互为相反数的是（　　）A．|−35|和−35B．|−35|和−53C．|−35|和35D．|−35|和53难度：0.83真题：5组卷：21
461．（2015秋•商河县校级期中）小明竟然不知道（|-1|-1）的相反数是什么，他上课一定没有听课，你认为（|-2013|-2013）的相反数是（　　）A．4026 B．-4026 C．0 D．2013难度：0.79真题：5组卷：439
462．（2015秋•北京校级期中）下列说法正确的是（　　）A．-5是相反数B．互为相反数的两个数的和一定为0C．π的相反数是-3.14D．正数与负数的互为相反数难度：0.73真题：5组卷：50
463．（2015秋•寿光市期中）一个数的相反数是非负数，这个数一定是（　　）A．正数或零 B．非零的数 C．负数或零 D．零难度：0.73真题：5组卷：74
464．（2015秋•工业园区期中）下列各对数中，互为相反数的是（　　）A．+（-8）和-8 B．-（-8）和-|-8| C．-（-8）和|+8| D．-（+8）和-|-8|难度：0.92真题：3组卷：24
465．（2015秋•来宾期中）若有理数x的相反数是8，则x为（　　）A．-8 B．8 C．-18D．18难度：0.80真题：3组卷：55
466．（2015秋•宁波校级期中）下列各数中，互为相反数的是（　　）A．-3与-|-3| B．（-3）2与32 C．-（-25）与-52 D．-a与|-a|难度：0.73真题：3组卷：39
467．（2015秋•睢宁县期中）一个数的相反数是它本身，则这个数为（　　）A．0 B．1 C．-1 D．±1难度：0.90真题：2组卷：59
468．（2015秋•襄州区期中）下列各数中互为相反数的是（　　）A．-2与+（-2） B．-（-1）与+（+1） C．（-2）2与-22 D．（-2）3与-23难度：0.80真题：2组卷：42
469．（2015秋•深圳校级期中）-|12|的相反数是（　　）A．-12B．12C．2 D．-2难度：0.77真题：2组卷：32
470．（2015秋•黄冈期中）下列各对数中，互为相反数的是（　　）A．-（-2）3与|-2|3 B．（-2）3与-23 C．-22与+（-2）2 D．-（-2）与|-2|难度：0.77真题：2组卷：81
471．（2015秋•岳阳校级期中）25的相反数是（　　）A．25B．-25C．2 D．-2难度：0.77真题：2组卷：37
472．（2015秋•温州校级期中）下面各组数，互为相反数的是（　　）A．14与-0.25 B．3.14与-π C．-0.5与2 D．3与|-3|难度：0.73真题：2组卷：35
473．（2015春•濮阳期中）下列各组数中，互为相反数的是（　　）A．-2和2 B．-2和12C．-2和-12D．2和12难度：0.73真题：2组卷：281
474．（2015秋•建湖县期中）下列各组数中，互为相反数的是（　　）A．3与-13B．-（-2）与2 C．-52与（-5）2 D．7与|-7|难度：0.68真题：2组卷：58
475．（2015秋•和县期中）两个非零有理数的和为零，则它们的商是（　　）A．-1 B．0 C．1 D．-1或1难度：0.68真题：2组卷：65
476．（2015秋•余姚市校级期中）如果这两个有理数的和除以这两个数的积，得商是零，那么这两个有理数（　　）A．互为倒数B．互为相反数，但不等于零C．都为零D．有一个数为零难度：0.53真题：2组卷：19
477．（2015秋•馆陶县期中）一个数比它的相反数小，这个数是（　　）A．有理数 B．正数 C．负数 D．0难度：0.80真题：1组卷：0
478．（2015春•北流市期中）-3的相反数是（　　）A．3 B．-3 C．0 D．±3难度：0.80真题：1组卷：39
479．（2015秋•简阳市期中）-（-9）的相反数是（　　）A．9 B．-9 C．19D．-19难度：0.77真题：1组卷：46
480．（2015秋•海宁市校级期中）-3的相反数是（　　）A．2 B．13C．3 D．0难度：0.77真题：1组卷：47
481．（2015秋•昌江县校级期中）7的相反数是（　　）A．+7 B．-7 C．±7 D．15难度：0.77真题：1组卷：4
482．（2015秋•海安县期中）下列各组数中，互为相反数的是（　　）A．+（-5）和-（+5） B．-|-3|和+（-3） C．（-1）3和-13 D．（-1）2和-12难度：0.77真题：1组卷：12
483．（2015秋•岳池县期中）-6的相反数是（　　）A．16B．6 C．-6 D．以上都不是难度：0.75真题：1组卷：7
484．（2015秋•上杭县期中）-13的相反数是（　　）A．-3 B．+3 C．13D．-0.3难度：0.75真题：1组卷：27
485．（2015秋•盐都区期中）3的相反数是（　　）A．13B．-3 C．-13D．3难度：0.75真题：1组卷：28
486．（2015秋•安陆市校级期中）下列各对数中，互为相反数的一对数是（　　）A．-23与-32 B．（-2）3与-23 C．（-3）2与-32 D．-（-1）与1难度：0.75真题：1组卷：31
487．（2015春•岳池县期中）x+y-z的相反数是（　　）A．x+y+z B．z-x-y C．x-y+z D．-x+y-z难度：0.71真题：1组卷：170
488．（2015秋•福州校级期中）下列结论错误的是（　　）A．-a不一定是负数 B．当a≠0时，a的倒数是1aC．a的相反数是-a D．|a|是正数难度：0.68真题：1组卷：47
489．（2015秋•吉林校级期中）一个数的相反数是正数，则这个数一定是（　　）A．正数 B．负数 C．0 D．正数和0难度：0.68真题：1组卷：37
490．（2015秋•澧县期中）图中表示互为相反数的点是（　　）A．点A和点D B．点B和点C C．点A和点C D．点B和点D难度：0.66真题：1组卷：64
491．（2015秋•肥城市期中）下列各组数中相等的是（　　）A．-（-2）和|-2| B．+（-2）和-（-2） C．-（-2）和（-2） D．-（-2）和-|-2|难度：0.66真题：1组卷：55
492．（2015秋•邳州市期中）下列各对数中，互为相反数的是（　　）A．-（-3）与|-3| B．-（+1）与+（-1） C．-23与（-2）3 D．-42与（-4）2难度：0.66真题：1组卷：43
493．（2015秋•张掖校级期中）下列各数中，互为相反数的是（　　）A．-32与23 B．32与（-2）3 C．（-3）2与-32 D．-32与-（-3）2难度：0.66真题：1组卷：14
494．（2015秋•岳池县期中）下列各对数中，互为相反数的一对是（　　）A．（-4）2与-42 B．（-4）3与-43C．-43与34 D．（-2×5）2与-2×52难度：0.66真题：1组卷：24
495．（2015秋•北流市期中）化简-（+4）的结果是（　　）A．-4 B．-14C．14D．4难度：0.66真题：1组卷：33
496．（2015秋•鄂尔多斯校级期中）下列各对数中，互为相反数的是（　　）A．2和12B．-0.5和12C．-3和13D．12和-2难度：0.64真题：1组卷：289
497．（2015秋•平顶山校级期中）若M-（-N）=0，则M与N的关系是（　　）A．互为相反数 B．大小相等 C．M＞N D．M＜N难度：0.60真题：1组卷：21
498．（2015秋•平顶山校级期中）一个数的倒数的相反数是-135，则这个数是（　　）A．58B．−58C．85D．−85难度：0.60真题：1组卷：88
499．（2015秋•宜昌校级期中）若x=-3，那么它的相反数是（　　）A．3 B．-3 C．13D．x难度：0.60真题：1组卷：11
500．（2015秋•唐山校级期中）下列各组数中，互为相反数的是（　　）A．-1+4与1 B．（-1）2与1 C．-4-[4-（-8）]与1 D．-12与1难度：0.60真题：1组卷：13
501．（2015秋•惠安县校级期中）下列各对数中互为相反数的是（　　）A．-（-3）和+（-3） B．+（-3）和-（+3） C．-|-3|和+（-3） D．-|+3|和+（-3）难度：0.60真题：1组卷：6
502．（2015秋•厦门校级期中）-45的相反数是（　　）A．-45B．54C．-54D．45难度：0.60真题：1组卷：15
503．（2015秋•长汀县期中）已知一个数的相反数为3，则这个数为（　　）A．3 B．13C．-3 D．-13难度：0.60真题：1组卷：0
504．（2015秋•莒县月考）下列各对数中，互为相反数的是（　　）A．-（+5）和-5 B．+（-5）和-5 C．-|−12|和-（+12） D．+|+8|和-（+8）难度：0.82真题：6组卷：25
505．（2015秋•响水县校级月考）下列各对数：+（-3）与-3，+（+3）与+3，-（-3）与+（-3），-（+3）与+（-3），-（+3）与+（+3），+3与-3中，互为相反数的有（　　）A．3对 B．4对 C．5对 D．6对难度：0.54真题：6组卷：383
506．（2015秋•合江县校级月考）若m、n互为相反数，则（　　）A．mn＜0 B．mn＞0 C．mn≤0 D．mn≥0难度：0.54真题：5组卷：39
507．（2015秋•武威校级月考）下列判断中，正确的是（　　）A．12002的相反数是2002B．12002的相反数是-2002C．12002的相反数是−12002D．12002的相反数是|−12002|难度：0.81真题：3组卷：12
508．（2015秋•嵊州市校级月考）有理数13的相反数是（　　）A．-13B．-3 C．13D．3难度：0.77真题：3组卷：16
509．（2015秋•宁津县校级月考）一个数的相反数等于它本身，这样的数一共有（　　）A．1个 B．2个 C．3个 D．4个难度：0.73真题：3组卷：67
510．（2015秋•丹阳市校级月考）下列各组数中，互为相反数的是（　　）A．-（+7）与+（-7） B．-（-7）与7C．-|-115|与-（-65） D．-（-1100）与+|-0.01|难度：0.73真题：3组卷：60
511．（2015秋•泰州校级月考）相反数等于其本身的数有（　　）A．1个 B．2个 C．0个 D．无数个难度：0.68真题：3组卷：14查看解析下载512．（2015秋•武平县校级月考）相反数不大于它本身的数是（　　）A．正数 B．负数 C．非正数 D．非负数难度：0.61真题：3组卷：1134查看解析下载513．（2015秋•平凉校级月考）下列各数中互为相反数的是 （　　）A．-2.25与214B．13与-0.33 C．-12与0.2 D．5与-（-5）难度：0.83真题：2组卷：22查看解析下载514．（2015秋•利川市校级月考）若-a=2，则a等于（　　）A．2 B．−12C．-2 D．12难度：0.82真题：2组卷：6查看解析下载515．（2015秋•夏津县月考）一个数的相反数是3，那么这个数是（　　）A．3 B．-3 C．-（-3） D．|3|难度：0.82真题：2组卷：29查看解析下载516．（2015秋•东台市月考）如果a+b=0，那么a，b两个实数一定是（　　）A．都等于0 B．一正一负 C．互为相反数 D．不确定难度：0.73真题：2组卷：92查看解析下载517．（2015秋•常熟市月考）下列说法正确的是（　　）①非负数与它的绝对值的差为0      ②相反数大于本身的数是负数③数轴上原点两侧的数互为相反数     ④两个数比较，绝对值大的反而小．A．①② B．①③ C．①②③ D．①②③④难度：0.73真题：2组卷：27查看解析下载518．（2015秋•兰山区校级月考）下列说法：①如果a=-13，那么-a=13，②如果a=-1，那么-a=-1，③如果a是非负数，那么-a是正数，④如果a是负数，那么|a|+1是正数，其中正确的是（　　）A．①③ B．①② C．②③ D．①④难度：0.70真题：2组卷：128查看解析下载519．（2015秋•夏津县校级月考）若|x|=4，且x+y=0，那么y的值是（　　）A．4 B．-4 C．±4 D．无法确定难度：0.68真题：2组卷：76查看解析下载520．（2015秋•金华月考）下列各数中，互为相反数的是（　　）A．|-32|和-32B．|-23|和-32C．|-23|和32D．|-23|和23难度：0.68真题：2组卷：13查看解析下载521．（2015秋•夏津县月考）若-a不是负数，则a（　　）A．是正数 B．不是负数 C．是负数 D．不是正数难度：0.64真题：2组卷：42
522．（2015秋•宁津县校级月考）若x与3互为相反数，则|x|+3等于（　　）A．-3 B．0 C．3 D．6难度：0.54真题：2组卷：14
523．（2015秋•邗江区校级月考）下列说法，其中正确的结论有（　　）个．①若a、b互为相反数，则a+b=0，②若a+b=0，则a、b互为相反数；③若a、b互为相反数，则ab=-1，④若ab=-1，则a、b互为相反数．A．1个 B．2个 C．3个 D．4个难度：0.49真题：2组卷：99
524．（2015秋•利川市校级月考）在-112，1.2，-2，0，-（-2），-23中，负数的个数有（　　）A．2个 B．3个 C．4个 D．5个难度：0.80真题：1组卷：0
525．（2015秋•平江县校级月考）−114倒数的相反数是（　　）A．54B．-114C．−45D．45难度：0.77真题：1组卷：6
526．（2015秋•诸暨市校级月考）下列各数中互为相反数的是（　　）A．(−23)和−23B．(−23)和−32C．(−23)和23D．(−23)和32难度：0.77真题：1组卷：5
527．（2015秋•道真县校级月考）计算：（-3+4）的结果的相反数等于（　　）A．7 B．-7 C．1 D．-1难度：0.77真题：1组卷：21
528．（2015秋•昌黎县校级月考）下列判断正确的是（　　）A．12是-2的相反数 B．|-2|的相反数是2C．-2和-12互为倒数 D．2的倒数是-2难度：0.77真题：1组卷：3
529．（2015秋•盐城校级月考）下面每组中的两个数互为相反数的是（　　）A．-15和5 B．8和-（-8） C．-2.5和212D．13和0.333难度：0.75真题：1组卷：15
530．（2015秋•雅安校级月考）如果有理数x的相反数是3，并且|y|=5，那么x+y=（　　）A．-8 B．2 C．8或-2 D．-8或2难度：0.68真题：1组卷：13
531．（2015秋•雅安校级月考）如果一个数的相反数等于它本身，那么这个数是（　　）A．0 B．1 C．-1 D．±1难度：0.68真题：1组卷：41
532．（2015秋•云阳县校级月考）-[-（-3）]化简后是（　　）A．-3 B．3 C．±3 D．以上都不对难度：0.68真题：1组卷：52
533．（2015秋•乐清市校级月考）如果□+2=0，那么“□”内填的数的是（　　）A．2 B．-2 C．0 D．-1难度：0.68真题：1组卷：23
534．（2015秋•袁州区校级月考）下列各组数中，互为相反数的是（　　）A．-12和-|+12| B．-（-3）和-|-3| C．-（-3）和+（+3） D．-4和+（-4）难度：0.68真题：1组卷：27
535．（2015秋•微山县校级月考）下列几组数中，互为相反数的是（　　）A．0.25与−14B．13与-0.333 C．-（-6）与6 D．−15与0.5难度：0.68真题：1组卷：20
536．（2015秋•扬州校级月考）下列哪组数互为相反数（　　）A．-（-2）与|-2| B．（-2）2与-22 C．-2与12D．-（-2）与12难度：0.68真题：1组卷：21
537．（2015秋•连云港校级月考）下列各组数中，互为相反数的是（　　）A．2与12B．2与-12C．-（-1）与1 D．-（-2）与-|-2|难度：0.68真题：1组卷：26
538．（2015秋•平顶山校级月考）若a与-3互为相反数，那么a=（　　）A．-3 B．3 C．-4 D．+5难度：0.68真题：1组卷：11
539．（2015秋•盘锦校级月考）下列各组数中，互为相反数的是 （　　）A．3.2与-2.3 B．-（-5）与-5 C．-（-4）与-8 D．-12与-[-（-12）]难度：0.68真题：1组卷：40
540．（2015秋•邳州市校级月考）下列各对数：+（-6）与+6；-（+6）与-6；-（-6）与-（+6）；-（+6）与+（-6）；+（+6）与-（-6）；+6与-（+6）．其中，互为相反数的有（　　）A．3对 B．4对 C．5对 D．6对难度：0.68真题：1组卷：55
541．（2015秋•诸暨市校级月考）一个数的相反数比本身大，那么这个数必定是（　　）A．正数 B．负数 C．整数 D．0难度：0.68真题：1组卷：33
542．（2015秋•昌江县校级月考）下列各组数中，互为相反数的是（　　）A．1和0 B．-4和4 C．-0.25和-4 D．以上都不是难度：0.68真题：1组卷：6
543．（2015秋•泉州校级月考）下列式子中，化简结果正确的是（　　）A．+（-5）=5 B．-（-5）=5 C．|-0.5|=-12D．-|-5|=5难度：0.68真题：1组卷：12
544．（2015秋•吴忠校级月考）若a、b互为相反数，则（　　）A．ab＞0 B．ab＜0 C．ab≥0 D．ab≤0难度：0.68真题：1组卷：27
545．（2015秋•江阴市校级月考）下列几对数中，互为相反数的是（　　）A．34和-0.75 B．-5和﹢3 C．13和0.3 D．12和-2难度：0.68真题：1组卷：20
546．（2015秋•平江县校级月考）如果a的绝对值是它的相反数，那么成立的是（　　）A．a＞0 B．a＜0 C．a≥0 D．a≤0难度：0.68真题：1组卷：4
547．（2015秋•涞水县校级月考）下列各组数中，与-9和4互为相反数的是（　　）A．-9和-4 B．9和-4 C．9和4 D．-9和4难度：0.68真题：1组卷：6
548．（2015秋•寿光市校级月考）若a的倒数是2，则a的相反数是（　　）A．12B．2 C．-12D．-2难度：0.68真题：1组卷：16
549．（2015秋•石林县校级月考）下列各数中互为相反数的有（　　）A．+（-3.8）与-3.8 B．3.8与-|-3.8|C．-（-3.8）与+3.8 D．-（+3.8）与-3.8难度：0.68真题：1组卷：13
550．（2015秋•平江县校级月考）若x的相反数是13，那么x的倒数是（　　）A．3 B．-3 C．13D．−13难度：0.68真题：1组卷：8
551．（2015秋•焦作校级月考）下列各组数中，互为相反数的是（　　）A．3与13B．（-1）2与1 C．-14与（-1）2 D．2与|-2|难度：0.68真题：1组卷：9
552．（2015秋•常熟市校级月考）如果a与-3互为倒数，那么a的相反数是（　　）A．-3 B．−13C．13D．3难度：0.66真题：1组卷：15
553．（2015秋•江西月考）有理数|-3|的相反数是（　　）A．13B．-13C．3 D．-3难度：0.66真题：1组卷：10
554．（2015秋•故城县校级月考）下列选项中，与-25互为相反数的是（　　）A．-25B．25C．-52D．52难度：0.66真题：1组卷：11
555．（2015秋•万州区校级月考）下列各对数中，互为相反数的是（　　）A．+（-2）与-2 B．+（+2）与-2 C．-（-2）与2 D．2与+（+2）难度：0.66真题：1组卷：9
556．（2015秋•沙河市月考）若的相反数是0.7，与的和为0，则的值为（　　）A．-0.7 B．0.7 C．-0.7或0.7 D．无法确定难度：0.60真题：1组卷：1
557．（2015秋•安庆校级月考）-16的相反数是（　　）A．-16B．16C．6 D．-6难度：0.60真题：1组卷：2
558．（2015秋•榕城区校级月考）下列两数互为相反数的是（　　）A．-8与18B．-3.14与π C．-5与-（-5） D．-13与0.33难度：0.60真题：1组卷：1
559．（2015秋•东莞市校级月考）下列各对数中，互为相反数的是（　　）A．-12与2 B．-（-2）与+（+2） C．-12与-2 D．-（-2）与-2难度：0.60真题：1组卷：17
560．（2015秋•会宁县校级月考）-1.5的相反数是（　　）A．0 B．-1.5 C．1.5 D．23难度：0.60真题：1组卷：4
561．（2015秋•海陵区校级月考）-（-3）、-（+2）的化简结果为（　　）A．-3、-2 B．3、-2 C．-3、2 D．3、2难度：0.60真题：1组卷：3
562．（2015秋•慈利县校级月考）下列说法正确个数的有（　　）①若a、b互为相反数，则a+b=0  ②若cd互为倒数，则cd=1③在数轴上到原点距离为3.7个单位的点有两个，表示的数为3.7和-3.7④绝对值不大于4的整数有8个  ⑤3的相反数是3x-1，则x=-23．A．2 B．3 C．4 D．5难度：0.60真题：1组卷：8
563．（2015秋•静宁县校级月考）在−112，1.2，-2，0，-（-2）中，非负数的个数有（　　）A．2个 B．3个 C．4个 D．5个难度：0.60真题：1组卷：0
564．（2015秋•昆明校级月考）若字母a表示任意一个数，则-a表示的数是（　　）A．正数 B．负数C．0 D．以上情况都有可能难度：0.49真题：1组卷：91
565．（2015秋•夏津县月考）下面说法正确的有（　　）①π的相反数是-3.14；②符号相反的数互为相反数；③-（-3.8）的相反数是3.8；④一个数和它的相反数不可能相等．A．0个 B．1个 C．2个 D．3个难度：0.49真题：1组卷：101
566．（2015秋•平顶山校级月考）若M-1的相反数是3，那么-M的值是（　　）A．+2 B．-2 C．+3 D．-3难度：0.49真题：1组卷：65
567．（2015秋•建湖县校级月考）当a、b互为相反数时（ab≠0），下列各式一定不成立的是（　　）A．a+b=0 B．|a|=|b| C．ba=-1 D．ba=1难度：0.49真题：1组卷：57
568．（2014•赤峰）有理数-3的相反数是（　　）A．3 B．-3 C．13D．-13难度：0.90真题：174组卷：617
569．（2014•莆田）3的相反数是（　　）A．-3 B．-13C．3 D．13难度：0.92真题：170组卷：364
570．（2014•大连）3的相反数是（　　）A．3 B．-3 C．13D．-13难度：0.96真题：114组卷：257
571．（2014•梧州）-9的相反数是（　　）A．9 B．-9 C．19D．-19难度：0.98真题：113组卷：109
572．（2014•安顺）若一个数的相反数是3，则这个数是（　　）A．-13B．13C．-3 D．3难度：0.89真题：112组卷：724
573．（2014•西宁）-3的相反数是（　　）A．-3 B．-13C．13D．3难度：0.93真题：104组卷：247
574．（2014•资阳）−12的相反数是（　　）A．−12B．-2 C．12D．2难度：0.84真题：98组卷：353
575．（2014•广安）-15的相反数是（　　）A．15B．-15C．5 D．-5难度：0.93真题：93组卷：368
576．（2014•三明）−13的相反数是（　　）A．13B．-13C．3 D．-3难度：0.82真题：86组卷：250
577．（2014•珠海）-12的相反数是（　　）A．2 B．12C．-2 D．-12难度：0.91真题：83组卷：269
578．（2014•常州）-12的相反数是（　　）A．12B．-12C．-2 D．2难度：0.92真题：81组卷：357
579．（2014•南平）-4的相反数（　　）A．4 B．-4 C．14D．-14难度：0.97真题：75组卷：167
580．（2014•海南）5的相反数是（　　）A．15B．-5 C．±5 D．-15难度：0.98真题：74组卷：203
581．（2014•福州）-5的相反数是（　　）A．-5 B．5 C．15D．-15难度：0.97真题：71组卷：199
582．（2014•北京）2的相反数是（　　）A．2 B．-2 C．-12D．12难度：0.98真题：67组卷：141
583．（2014•无锡）-3的相反数是（　　）A．3 B．-3 C．±3 D．13难度：0.95真题：66组卷：144
584．（2014•娄底）2014的相反数是（　　）A．12014B．-12014C．-2014 D．2014难度：0.92真题：64组卷：236
585．（2014•漳州）如图，数轴上有A、B、C、D四个点，其中表示互为相反数的点是（　　）A．点A与点D B．点A与点C C．点B与点D D．点B与点C难度：0.95真题：62组卷：788
586．（2014•泰州）-2的相反数等于（　　）A．-2 B．2 C．−12D．12难度：0.97真题：61组卷：107
587．（2014•宁德）-5的相反数是（　　）A．15B．−15C．-5 D．5难度：0.97真题：60组卷：52
588．（2014•泉州）2014的相反数是（　　）A．2014 B．-2014 C．12014D．−12014难度：0.93真题：60组卷：149
589．（2014•西藏）-6的相反数是（　　）A．6 B．-6 C．16D．−16难度：0.88真题：60组卷：22
590．（2014•河北）-2是2的（　　）A．倒数 B．相反数 C．绝对值 D．平方根难度：0.97真题：59组卷：115
591．（2014•宿迁）-3的相反数是（　　）A．3 B．13C．-13D．-3难度：0.94真题：59组卷：53
592．（2014•巴中）-15的相反数是（　　）A．-15B．15C．-5 D．5难度：0.88真题：58组卷：72
593．（2014•贵阳）2的相反数是（　　）A．-12B．12C．2 D．-2难度：0.93真题：55组卷：91
594．（2014•随州）2的相反数是（　　）A．1 B．12C．-2 D．−12难度：0.90真题：55组卷：114
595．（2014•丹东）2014的相反数是（　　）A．-2014 B．2014 C．12014D．-12014难度：0.97真题：54组卷：69
596．（2014•深圳）9的相反数是（　　）A．-9 B．9 C．±9 D．19难度：0.96真题：54组卷：75
597．（2014•贵港）5的相反数是（　　）A．15B．-15C．5 D．-5难度：0.94真题：54组卷：41
598．（2014•德阳）实数-12的相反数是（　　）A．-2 B．12C．2 D．-|-0.5|难度：0.90真题：53组卷：75
599．（2014•朝阳）3的相反数是（　　）A．3 B．13C．-3 D．-13难度：0.85真题：53组卷：61
