1．（2017•随州）-2的绝对值是（　　）A．2 B．-2 C．12D．−12难度：0.98真题：121组卷：828
357．（2016秋•江都区校级月考）如果一个数的绝对值比它本身大，那么这个数为（　　）A．正数 B．负数C．整数 D．不等于零的有理数难度：0.60真题：1组卷：9
358．（2016秋•海安县月考）已知数轴上的两点A、B分别表示有理数a，-1，那么A、B两点之间的距离是（　　）A．a-（-1） B．|a-1| C．|a+1| D．|a|+|-1|难度：0.60真题：1组卷：12
359．（2016秋•德州月考）有理数a，b在数轴上的位置如图所示，则下列关系式：①|a|＞b；②a-b＞0；③a+b＞0；④1a+1b＞0；⑤a＞b，其中正确的个数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：2
360．（2016秋•碑林区校级月考）一个数的相反数是|-3|，则这个数是（　　）A．-13B．13C．-3 D．3难度：0.60真题：1组卷：2
361．（2016秋•诸城市月考）若一个数的绝对值的相反数是-17，则这个数是（　　）A．-17B．+17C．±17D．±7难度：0.60真题：1组卷：6
362．（2016秋•泰州校级月考）在-|-2|、|-（+2）|、3-π、-（-4）、（-1）2n（n为正整数）中负数有（　　）A．4个 B．3个 C．2个 D．1个难度：0.60真题：1组卷：9
363．（2016春•北流市校级月考）|-9|的值是（　　）A．9 B．-9 C．19D．-19难度：0.60真题：1组卷：66
364．（2016秋•宜兴市校级月考）abc＞0，则|a|a+|b|b+|c|c-|abc|abc的值为（　　）A．±4 B．4或0 C．±2 D．±4或0难度：0.60真题：1组卷：8
365．（2016秋•孝南区月考）下列说法正确的是（　　）①若m=n，则|m|=|n|；②若m=-n，则|m|=|-n|；③若|-m|=|-n|，则m=-n；④若|-m|=|-n|，则m=n．A．①② B．③④ C．①④ D．②③难度：0.60真题：1组卷：10
366．（2016秋•房山区校级月考）已知a，b是异号的两个有理数，且|a+b|=|a|-b用数轴上的点来表示a，b下列正确的是（　　）A． B． C． D．难度：0.60真题：1组卷：17
367．（2016秋•威远县校级月考）下面说法正确的是 （　　）A．绝对值最小的数是0B．绝对值相等的两个数相等C．-a一定是负数D．有理数的绝对值一定是正数难度：0.60真题：1组卷：12
368．（2016秋•新沂市校级月考）若一个数的绝对值是正数，则这个数一定是（　　）A．正数 B．负数 C．任何数 D．非零的数难度：0.60真题：1组卷：2
369．（2016秋•岳麓区校级月考）|-3|的相反数是（　　）A．-3 B．-67C．3 D．3或-3难度：0.60真题：1组卷：4
370．（2016秋•鼓楼区校级月考）绝对值与相反数都是它的本身有（　　）A．1个 B．2个 C．3个 D．不存在难度：0.60真题：1组卷：4
371．（2016秋•碑林区校级月考）如果|a|a+|b|b+|c|c=-1，那么ab|ab|+bc|bc|+ac|ac|+abc|abc|的值为（　　）A．-2 B．-1 C．0 D．不确定难度：0.60真题：1组卷：4查看解析下载372．（2016秋•高密市校级月考）下列说法正确的是（　　）A．数轴上的点表示的都是有理数B．若a+b=0，则a与b互为相反数C．在数轴上表示数的点离原点越远，这个数越大D．两个数中，较大的那个数的绝对值较大难度：0.60真题：1组卷：4查看解析下载373．（2016秋•回民区校级月考）如果a与5互为相反数，则|a+2|等于（　　）A．-3 B．3 C．-2 D．2难度：0.60真题：1组卷：5查看解析下载374．（2016秋•莒县校级月考）-2016的绝对值（　　）A．2016 B．-2016 C．±2016 D．0难度：0.60真题：1组卷：2查看解析下载375．（2016秋•巴南区校级月考）若|a|=8，则a+82的值为（　　）A．0 B．0或8 C．4 D．-8或8难度：0.60真题：1组卷：30查看解析下载376．（2016秋•东莞市月考）在数轴上表示a、b两数的点如图所示，则下列判断正确的是（　　）A．a+b＞0 B．a+b＜0 C．a＞|b| D．|a|＞|b|难度：0.60真题：1组卷：13查看解析下载377．（2016春•长春校级月考）-37的绝对值是（　　）A．37B．-37C．73D．-73难度：0.60真题：1组卷：19查看解析下载378．（2016秋•江岸区校级月考）若|a|=1，则a=（　　）A．1 B．-1 C．1或-1 D．0难度：0.60真题：1组卷：1查看解析下载379．（2016秋•巴南区校级月考）计算：|-2|的结果是（　　）A．0 B．-2 C．2 D．4难度：0.60真题：1组卷：6查看解析下载380．（2016秋•江岸区校级月考）在下列各式中，a一定为正数的式子有（　　）个①|a|=a；②|a|＞-a；③|a|≥-a；④|a|a=1．A．4 B．5 C．2 D．1难度：0.60真题：1组卷：4查看解析下载381．（2016秋•启东市校级月考）下面的说法中，正确的个数是（　　）①若a+b=0，则|a|=|b|②若|a|=a，则a＞0③若|a|=|b|，则a=b      　　　 ④若a为有理数，则|a|=|-a|A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：13
382．（2016秋•惠山区校级月考）下列说法：①一个数的绝对值的相反数一定是负数；  ②π的相反数是-3.14；③互为相反数的两个数的绝对值相等； ④若|-a|＞-a，则a＜0．其中正确的个数有（　　）A．0个 B．1个 C．2个 D．3个难度：0.60真题：1组卷：10
383．（2016秋•石鼓区校级月考）下列各数对中，数值相等的是（　　）A．+3与+（-3） B．-2与-（-2） C．-（-3）与+（+3） D．-（-3）与-|-3|难度：0.60真题：1组卷：4
384．（2016秋•江津区校级月考）下列各对数中，互为相反数的是（　　）A．-（-3）和3 B．+（-5）和-[-（-5）] C．13和-3 D．-（-7）和-|-7|难度：0.60真题：1组卷：3
385．（2016秋•盐津县校级月考）当|a|=-a时，则a是（　　）A．a≤0 B．a＜0 C．a≥0 D．a＞0难度：0.60真题：1组卷：2
386．（2016秋•丹徒区月考）若|a|+a=0，则a是（　　）A．零 B．-1 C．负数 D．负数或零难度：0.60真题：1组卷：6
387．（2016秋•孝南区月考）要使式子|x|−52的值为零，则x的值是（　　）A．2.5 B．±2.5 C．5 D．±5难度：0.60真题：1组卷：3
388．（2016秋•宁海县校级月考）|-34|的相反数是（　　）A．-34B．34C．43D．-43难度：0.60真题：1组卷：1
389．（2016秋•萧山区月考）计算：|3-π|=（　　）A．3 B．3-π C．0.14 D．π-3难度：0.60真题：1组卷：3
390．（2016秋•龙岗区校级月考）2014的绝对值是（　　）A．2014 B．-2014 C．12014D．-12014难度：0.60真题：1组卷：3
391．（2016秋•东莞市月考）|a|=6，则 a=（　　）A．6 B．-6 C．8 D．±6难度：0.60真题：1组卷：2
392．（2016秋•昌江县校级月考）若有理数a、b在数轴上对应的位置如图所示，则下列关系正确的是（　　）A．|a|＜|b| B．a＞b C．a＜b D．a=b难度：0.60真题：1组卷：7
393．（2016秋•海安县校级月考）如果a是负数，那么-a2，2a，a+|a|，a|a|这四个数中，是负数的个数为（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：17
394．（2016秋•长葛市校级月考）下列每组数中，相等的是（　　）A．-（-1.2）和-1.2 B．+（-1.2）和-（-1.2）C．-（-1.2）和|-1.2| D．-（-1.2）和-|-1.2|难度：0.60真题：1组卷：12
395．（2016秋•威远县校级月考）下例说法错误的是（　　）A．+（-3）的相反数是3 B．-（+3）的相反数是3C．-（-8）的相反数是8 D．-（+|18|）的相反数是18难度：0.60真题：1组卷：11
396．（2016秋•房山区校级月考）若|a|=34，则a是（　　）A．34B．43C．-34或34D．-43或43难度：0.60真题：1组卷：4
397．（2016秋•房山区校级月考）一个数的绝对值等于它本身，则这个数是（　　）A．非负数 B．非正数 C．正数 D．负数难度：0.60真题：1组卷：7
398．（2016秋•东莞市月考）下列各对数中，互为相反数的是（　　）A．-（+5）和-5 B．-（-5）和5 C．（-12） 与-2 D．+|+8|和-（+8）难度：0.60真题：1组卷：6
399．（2016秋•上蔡县校级月考）在 ①+（+1）与-（-1）；②-（+1）与+（-1）；③+（+1）与-|-1|；④+|-1|与-（-1）中，互为相反数的是（　　）A．① B．② C．③ D．④难度：0.60真题：1组卷：6
400．（2016秋•安丘市校级月考）下列各对数中，互为相反数的是（　　）A．-|-7|和+（-7） B．+（-10）和-（+10） C．-（-43）和-（+43） D．+（-54）和-（+54）难度：0.60真题：1组卷：4
401．（2016秋•亭湖区校级月考）在下列数：+3，+（-2.1）、-12、π、0、-|-9|中，正数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：5
402．（2016秋•亭湖区校级月考）有理数a，b，c在数轴上的位置如图所示，下面结论正确的是（　　）A．c＞a B．c＞0 C．|a|＜|b| D．a-c＜0难度：0.60真题：1组卷：6
403．（2016春•宁津县校级月考）若有理数a和b在数轴上所表示的点分别在原点的右边和左边，则|b|-|a-b|等于（　　）A．a B．-a C．2b+a D．2b-a难度：0.60真题：1组卷：180
404．（2016秋•耒阳市校级月考）下列说法中不正确的是（　　）A．-a一定是负数B．0既不是正数，也不是负数C．任何正数都大于它们的相反数D．绝对值小于4的所有整数的和为0难度：0.60真题：1组卷：5
405．（2016秋•睢宁县校级月考）下列各数中，是负数的是（　　）A．-（-3） B．-|-3| C．|+3| D．|-3|难度：0.60真题：1组卷：6
406．（2016秋•江岸区校级月考）若|a|=-a，则a为（　　）A．正数 B．0和正数 C．负数 D．0和负数难度：0.60真题：1组卷：1
407．（2016秋•江岸区校级月考）下列各对数中，互为相反数的是（　　）A．+（-2）和-2 B．-（-2）和-|-2| C．-（-2）和|-2| D．-（-2）和+（+2）难度：0.60真题：1组卷：1
408．（2016秋•太仓市校级月考）若|m-5|=5-m，则m的取值范围是（　　）A．m＞5 B．m≥5 C．m＜5 D．m≤5难度：0.60真题：1组卷：7
409．（2016秋•临沭县校级月考）下列说法中正确的是（　　）A．-a一定是负数 B．-|a|一定是负数C．|-a|一定不是负数 D．-a2一定是负数难度：0.60真题：1组卷：10
410．（2016秋•海陵区校级月考）如图，某数轴的单位长度为1.5，如果点A，B表示的数的绝对值相等，那么点A表示的数是（　　）A．-2 B．-3 C．-4.5 D．0难度：0.60真题：1组卷：9
411．（2016秋•东莞市月考）已知|a-1|=5，则a的值为（　　）A．0 B．-4 C．6或-4 D．-6或4难度：0.60真题：1组卷：4
412．（2016秋•重庆月考）下列结论正确的有（　　）①任何数都不等于它的相反数；②一个数的绝对值一定是正数；③表示互为相反数的两个数的点到原点的距离相等；④若有理数a，b互为相反数，那么a+b=0；⑤绝对值最小的数是0．A．2个 B．3个 C．4个 D．5个难度：0.60真题：1组卷：13
413．（2016秋•杭州月考）已知a，b，c在数轴上的位置如图所示，则（　　）A．|a|＜|b|＜|c| B．|a|＞|b|＞|c| C．|a|＞|c|＞|b| D．|c|＞|a|＞|b|难度：0.60真题：1组卷：9
414．（2016秋•襄城区校级月考）数a，b在数轴上的位置如图所示，下列各式正确的是（　　）A．a＞0 B．|b|＜|a| C．|a|＞b D．-b＜-a难度：0.60真题：1组卷：6
415．（2016秋•碑林区校级月考）-|-3|的相反数是（　　）A．13B．3 C．-3 D．-13难度：0.60真题：1组卷：0
416．（2016秋•开县校级月考）已知有理数a、b所对应的点在数轴上如图所示，化简|a+b|得（　　）A．a-b B．b-a C．-a-b D．a+b难度：0.60真题：1组卷：9
417．（2016秋•德惠市校级月考）若|x|=-x，则x的值是（　　）A．正数 B．负数 C．非负数 D．非正数难度：0.60真题：1组卷：4
418．（2016秋•罗田县校级月考）如果a=-14，b=-2，c=-234，那么|a|-|b|+|c|等于（　　）A．-12B．1 C．-5 D．-1.5难度：0.60真题：1组卷：4
419．（2016秋•温江区校级月考）已知a，b两数在数轴上对应的点如图所示，下列结论正确的是（　　）A．a+b＞0 B．|a|＞|b| C．a-b＜0 D．a+b＜0难度：0.60真题：1组卷：7
420．（2016秋•宝应县校级月考）若|a|=-a，则a是（　　）A．零 B．负数 C．正数或零 D．负数或零难度：0.60真题：1组卷：8
421．（2016秋•华龙区校级月考）-2的绝对值的相反数是（　　）A．-2 B．-12C．2 D．12难度：0.60真题：1组卷：1
422．（2016秋•新沂市校级月考）在π2，3.14，0，|-13|，0.313 113 1113…，-（-0.1）六个数中分数有（　　）个．A．1 B．2 C．3 D．4难度：0.60真题：1组卷：2
423．（2016春•浦东新区校级月考）下列说法错误的是（　　）A．绝对值最小的数是0B．最小的自然数是1C．最大的负整数是-1D．绝对值小于2的整数是：1，0，-1难度：0.60真题：1组卷：433
424．（2016秋•永安市月考）在-（-5），-（-5）2，|-5|，（-5）3中负数有（　　）A．0个 B．1个 C．2个 D．3个难度：0.60真题：1组卷：4
425．（2016秋•盐城校级月考）下列说法中：①有理数的绝对值一定是正数；②互为相反数的两个数，必然一个是正数，一个是负数；③若|a|=|b|，则a与b互为相反数；④绝对值等于本身的数是0；⑤任何一个数都有它的相反数．其中正确的个数有（　　）A．0 个 B．1 个 C．2 个 D．3 个难度：0.60真题：1组卷：15
426．（2016秋•盐都区月考）若|a|=a，则数a在数轴上的对应点一定在（　　）A．原点的左侧 B．原点或原点左侧C．原点右侧 D．原点或原点右侧难度：0.60真题：1组卷：8
427．（2016秋•回民区校级月考）在-（-2），-[-（-3）]，+（-12），-|-2|这四个数中，负数的个数是（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：4
428．（2016秋•龙潭区校级月考）在-（-2），-|-7|，-|+1|，|-23|中，负数有（　　）A．1个 B．2个 C．3个 D．4个难度：0.60真题：1组卷：5
429．（2015•常州）-3的绝对值是（　　）A．3 B．-3 C．13D．−13难度：0.98真题：271组卷：2091
430．（2015•梅州）12的相反数是（　　）A．2 B．-2 C．12D．-12难度：0.98真题：123组卷：109
431．（2015•东营）|-13|的相反数是（　　）A．13B．-13C．3 D．-3难度：0.81真题：120组卷：6279
432．（2015•茂名）|-3|等于（　　）A．3 B．-3 C．13D．-13难度：0.97真题：94组卷：933
433．（2015•德州）|−12|的值是（　　）A．−12B．12C．-2 D．2难度：0.98真题：92组卷：1011
434．（2015•广东）|-2|=（　　）A．2 B．-2 C．12D．−12难度：0.91真题：82组卷：768
435．（2015•河池）-3的绝对值是（　　）A．-3 B．-13C．13D．3难度：0.99真题：70组卷：414
436．（2015•湖州）-5的绝对值为（　　）A．-5 B．5 C．-15D．15难度：0.99真题：66组卷：947
437．（2015•毕节市）下列说法正确的是（　　）A．一个数的绝对值一定比0大B．一个数的相反数一定比它本身小C．绝对值等于它本身的数一定是正数D．最小的正整数是1难度：0.85真题：65组卷：4429
438．（2015•南京）计算：|-5+3|的结果是（　　）A．-2 B．2 C．-8 D．8难度：0.91真题：62组卷：2587
439．（2015•资阳）-6的绝对值是（　　）A．6 B．-6 C．16D．−16难度：0.99真题：61组卷：248
440．（2015•丹东）-2015的绝对值是（　　）A．-2015 B．2015 C．12015D．-12015难度：0.99真题：60组卷：927
441．（2015•南平）-6的绝对值等于（　　）A．-6 B．6 C．-16D．16难度：0.99真题：58组卷：477
442．（2015•南宁）3的绝对值是（　　）A．3 B．-3 C．13D．−13难度：0.94真题：58组卷：196
443．（2015•天水）若a与1互为相反数，则|a+1|等于（　　）A．-1 B．0 C．1 D．2难度：0.94真题：56组卷：2449
444．（2015•济南）-6的绝对值是（　　）A．6 B．-6 C．±6 D．16难度：0.99真题：55组卷：233
445．（2015•泰州）-13的绝对值是（　　）A．-3 B．13C．-13D．3难度：0.98真题：55组卷：173
446．（2015•岳阳）实数-2015的绝对值是（　　）A．2015 B．-2015 C．±2015 D．12015难度：0.99真题：53组卷：268
447．（2015•葫芦岛）-12的绝对值是（　　）A．-12B．12C．2 D．-2难度：0.97真题：54组卷：490
448．（2015•抚顺）6的绝对值是（　　）A．6 B．-6 C．16D．-16难度：0.91真题：54组卷：142
449．（2015•巴彦淖尔）-3的绝对值是（　　）A．-3 B．3 C．-3-1 D．3-1难度：0.99真题：52组卷：100
450．（2015•昆明）-5的绝对值是（　　）A．5 B．-5 C．15D．±5难度：0.99真题：52组卷：277
451．（2015•宁波）-13的绝对值为（　　）A．13B．3 C．-13D．-3难度：0.94真题：52组卷：478
452．（2015•阜新）-3的绝对值是（　　）A．3 B．-13C．-3 D．13难度：0.99真题：51组卷：430
453．（2015•娄底）若|a-1|=a-1，则a的取值范围是（　　）A．a≥1 B．a≤1 C．a＜1 D．a＞1难度：0.86真题：51组卷：3095
454．（2015•恩施州）-5的绝对值是（　　）A．-5 B．-15C．15D．5难度：0.76真题：51组卷：168
455．（2015•聊城）-13的绝对值等于（　　）A．-3 B．3 C．-13D．13难度：0.73真题：51组卷：212
456．（2015•安顺）|-2015|等于（　　）A．2015 B．-2015 C．±2015 D．12015难度：0.99真题：50组卷：390
457．（2015•梧州）|-15|=（　　）A．-15B．15C．5 D．-5难度：0.97真题：50组卷：422
458．（2015•泸州）-7的绝对值为（　　）A．7 B．17C．-17D．-7难度：0.95真题：50组卷：428
459．（2015•临清市二模）已知|a|=5，|b|=2，且a+b＜0，则ab的值是（　　）A．10 B．-10 C．10或-10 D．-3或-7难度：0.51真题：21组卷：4842
460．（2015•黄石模拟）若|x-5|=5-x，下列不等式成立的是（　　）A．x-5＞0 B．x-5＜0 C．x-5≥0 D．x-5≤0难度：0.76真题：13组卷：3625
461．（2015•江都区模拟）|-12|的相反数是（　　）A．2 B．12C．-12D．-2难度：0.92真题：10组卷：535
462．（2015•盘龙区二模）计算：|-3|=（　　）A．3 B．-3 C．13D．-13难度：0.82真题：10组卷：16
463．（2015•肇庆二模）计算|-3|的结果是（　　）A．3 B．−13C．-3 D．13难度：0.95真题：9组卷：72
464．（2015•丹东模拟）-5的绝对值是（　　）A．15B．5 C．-5 D．-15难度：0.99真题：7组卷：494
465．（2015•宜兴市校级模拟）|-8|的相反数是（　　）A．8 B．-8 C．18D．−18难度：0.92真题：5组卷：264
466．（2015•鱼峰区二模）-2的绝对值等于（　　）A．-2 B．-12C．12D．2难度：0.87真题：5组卷：59
467．（2015•新抚区模拟）-5的绝对值是（　　）A．-5 B．5 C．15D．-15难度：0.75真题：5组卷：39
468．（2015•中山校级三模）数轴上有A，B，C，D四个点，其中绝对值相等的点是（　　）A．点A与点D B．点A与点C C．点B与点C D．点B与点D难度：0.98真题：4组卷：855
469．（2015•诏安县校级模拟）−12013的绝对值是（　　）A．2013 B．-2013 C．12013D．−12013难度：0.92真题：3组卷：66
470．（2015•丰台区一模）如图，数轴上有A，B，C，D四个点，其中绝对值为2的数对应的点是（　　）A．点A与点C B．点A与点D C．点B与点C D．点B与点D难度：0.85真题：3组卷：504
471．（2015•河北模拟）-14的绝对值为（　　）A．-4 B．4 C．-14D．14难度：0.83真题：3组卷：48
472．（2015•秦淮区一模）-4的绝对值是（　　）A．-4 B．4 C．-14D．14难度：0.80真题：3组卷：62
473．（2015•石家庄模拟）已知实数a、b在数轴上的位置如图所示，则下列等式成立的是（　　）A．|a+b|=a+b B．|a+b|=a-b C．|b+1|=b+1 D．|a+1|=a+1难度：0.78真题：3组卷：1609
474．（2015•深圳模拟）-9的绝对值是（　　）A．9 B．-9 C．±9 D．19难度：0.99真题：2组卷：238
475．（2015•浦口区校级一模）|-2|等于（　　）A．2 B．-2 C．±2 D．±12难度：0.99真题：2组卷：72
476．（2015•长沙一模）-3的绝对值是（　　）A．13B．-3 C．-13D．3难度：0.88真题：2组卷：57
477．（2015•通州区一模）-2的绝对值是（　　）A．±2 B．2 C．12D．−12难度：0.87真题：2组卷：115
478．（2015•保定一模）|-23|=（　　）A．-23B．23C．32D．-32难度：0.84真题：2组卷：131
479．（2015•大兴区一模）若a为有理数，且|a|=-a，那么a是（　　）A．正数 B．负数 C．非负数 D．非正数难度：0.82真题：2组卷：335
480．（2015•蓟县一模）|−13|的相反数的倒数是（　　）A．13B．-13C．-3 D．3难度：0.80真题：2组卷：178
481．（2015•元阳县校级二模）若a与2互为相反数，则|a-2|等于（　　）A．0 B．-2 C．-4 D．4难度：0.73真题：2组卷：77
482．（2015•莆田模拟）若a、b为实数，a＞0，b＜0，且|a|＜|b|，那么下列正确的是（　　）A．a+b＜0 B．a+b=0 C．a+b＞0 D．以上都不对难度：0.71真题：2组卷：511
483．（2015•诏安县校级模拟）以下数的绝对值是它本身的是（　　）A．0 B．1，0 C．1，-1 D．1，-1或0难度：0.66真题：2组卷：1083
484．（2015•凉山州模拟）若|a|=a，则a的取值范围为（　　）A．a＞0 B．a≥0 C．1，0 D．0难度：0.98真题：1组卷：564
485．（2015•黄岛区校级模拟）23的绝对值是（　　）A．−23B．23C．−32D．32难度：0.97真题：1组卷：120
486．（2015•东台市一模）-12的绝对值是（　　）A．2 B．12C．-2 D．-12难度：0.87真题：1组卷：43
487．（2015•沙坪坝区校级一模）|-3|的值是（　　）A．3 B．13C．-3 D．-13难度：0.85真题：1组卷：103
488．（2015•泗阳县一模）-2的绝对值是（　　）A．2 B．-2 C．-12D．±2难度：0.84真题：1组卷：56
489．（2015•北京校级模拟）-25的绝对值是（　　）A．52B．-52C．25D．-25难度：0.82真题：1组卷：40
490．（2015•楚雄州校级模拟）|-1|的结果为（　　）A．1 B．±1 C．-1 D．无法确定难度：0.82真题：1组卷：55
1．（2017•聊城）纽约、悉尼与北京时差如下表（正数表示同一时刻比北京时间早的时数，负数表示同一时刻比北京时间晚的时数）：城市 悉尼 纽约时差/时 +2 -13当北京6月15日23时，悉尼、纽约的时间分别是（　　）A．6月16日1时；6月15日10时B．6月16日1时；6月14日10时C．6月15日21时；6月15日10时D．6月15日21时；6月16日12时难度：0.60真题：1组卷：607
2．（2017•成都）《九章算术》中注有“今两算得失相反，要令正负以名之”，意思是：今有两数若其意义相反，则分别叫做正数与负数，若气温为零上10℃记作+10℃，则-3℃表示气温为（　　）A．零上3℃ B．零下3℃ C．零上7℃ D．零下7℃难度：0.60真题：1组卷：902
3．（2017•六盘水）大米包装袋上（10±0.1）kg的标识表示此袋大米重（　　）A．（9.9～10.1）kg B．10.1kg C．9.9kg D．10kg难度：0.60真题：1组卷：347
4．（2017•天门）如果向北走6步记作+6，那么向南走8步记作（　　）A．+8步 B．-8步 C．+14步 D．-2步难度：0.60真题：1组卷：525
5．（2017•广州）如图，数轴上两点A，B表示的数互为相反数，则点B表示的数为（　　）A．-6 B．6 C．0 D．无法确定难度：0.60真题：1组卷：230
6．（2017•株洲）如图示，数轴上点A所表示的数的绝对值为（　　）A．2 B．-2 C．±2 D．以上均不对难度：0.60真题：1组卷：281
7．（2017•乌鲁木齐）如图，数轴上点A表示数a，则|a|是（　　）A．2 B．1 C．-1 D．-2难度：0.60真题：1组卷：74
8．（2017•扬州）若数轴上表示-1和3的两点分别是点A和点B，则点A和点B之间的距离是（　　）A．-4 B．-2 C．2 D．4难度：0.60真题：1组卷：495
9．（2017•安徽）12的相反数是（　　）A．12B．-12C．2 D．-2难度：0.81真题：71组卷：723
10．（2017•淮安）-2的相反数是（　　）A．2 B．-2 C．12D．-12难度：0.98真题：66组卷：1159
